subtitulo,secao,url,texto,autor,titulo,data
"O ex-jogador francês Thuram critica o zagueiro italiano por suas palavras após o episódio de racismo sofrido por seu colega de equipe, Moise Kean",deportes,https://brasil.elpais.com/brasil/2019/04/04/deportes/1554386003_956632.html,", continua dando o que falar. O atacante italiano, ao marcar um dos gols da vitória do líder do , recebeu insultos racistas ao comemorar na frente da torcida adversária. Foram muitas as manifestações de apoio que o jovem italiano recebeu desde então. Colegas de profissão como , Sterling, Yaya Touré, Kevin Prince Boateng e Mario Ballotelli condenaram o episódio. Mas entre todas as expressões se destaca, por sua contundência, a do ex-jogador francês Lilian Thuram, de 47 anos. No jornal  Thuram mostrou sua rejeição pelo insulto e criticou duramente o defensor da  Leonardo Bonucci pela falta de fibra ao falar do caso e por dividir a culpa com os torcedores e com o próprio Kean após o jogo. ""Eu acho que ele tem 50% de culpa, porque Moise não deveria comemorar diante da torcida adversária"", disse o zagueiro italiano.“Bonucci diz basicamente o que muita gente pensa: que . A pergunta correta para Bonucci seria: o que Kean fez para merecer tanto desprezo? [Bonucci] não disse para os torcedores que estão errados. O que fez foi dizer a Kean que ele estava provocando. A reação de Bonucci é tão violenta quanto os insultos. É como acontece quando . Por causa dessas pessoas é que as coisas não vão para frente”, disse Thuram ao .Kean, filho de imigrantes da Costa do Marfim, suportou durante todo o jogo os cantos racistas procedentes da “curva norte”, onde ficam os torcedores extremistas do Cagliari. Quando marcou o gol que decidiu a vitória da Juve, já na reta final da partida, ele se posicionou diante dos torcedores com os braços em cruz, numa atitude desafiadora. Na coletiva após o jogo, Bonucci dividiu a culpa entre os torcedores e o próprio Kean, por seu gesto. “Houve um  racista depois do 2 a 0, mas Kean deve se conter mais e pensar em comemorar com o time. Os jogadores devem dar o exemplo aos torcedores, não devem fazer essas coisas. Kean errou, e a torcida errou”, disse o defensor italiano. Depois quis suavizar as declarações. “Após 24 horas, quero esclarecer meus sentimentos. Ontem me entrevistaram no final do jogo, e minhas palavras foram claramente mal interpretadas, provavelmente porque me apressei na forma de expressar meus sentimentos. Horas e anos não seriam suficientes para falar sobre esse tema. Condeno todas as formas de racismo e discriminação. Certas atitudes são sempre injustificáveis, e não pode haver mal-entendidos sobre isso”, Mas a retificação do zagueiro italiano não é suficiente para Thuram: “Os comentários de Bonucci são vergonhosos. . Essas vaias representam o desprezo a todas as pessoas, incluindo as crianças, que têm a cor da pele de Kean.” Thuram também parabenizou Kean por sua atitude. “Fez muito bem ao manter o orgulho e a retidão na adversidade. Convido todas as pessoas negras a fazer o mesmo e exigir respeito quando as pessoas como Bonucci querem o pior para elas.”Por último, Thuram criticou o papel das instituições nos casos de racismo. “O árbitro interrompeu o jogo? Algo foi feito? Isso acontece há anos. . A realidade é que as autoridades do futebol não se importam. Se realmente se incomodassem com isso, o jogo seria interrompido. O time teria deixado o campo e teríamos encontrado uma solução”, concluiu.",Diego Torres,“Bonucci diz o que muita gente pensa: os negros merecem o que acontece com eles”,2019-04-04T17:24:26-03:00
"Comandados por Di Maria e Mbappé, os franceses venceram o primeiro jogo por 2 a 0 na Inglaterra",deportes,https://brasil.elpais.com/brasil/2019/03/06/deportes/1551885503_860839.html," x  se enfrentam nesta quarta-feira, às 17h (horário de Brasília), pelas oitavas de final de . A partida será transmitida pela página do Esporte Interativo no Facebook.O Paris traz ótima vantagem do jogo de ida: na Inglaterra, com duas assistências de Di Maria, Kimpembe e Mbappé fizeram os gols da vitória por 2 a 0. Os franceses ainda não contarão com  para o jogo de volta, mas o United também jogará sem seu melhor jogador: Pogba, suspenso por cartão vermelho.",El País,Onde e como assistir a PSG x Manchester United pela Champions League,2019-03-06T17:06:41-03:00
"Depois de perder por 2 a 0, ingleses venceram com gols de Lukaku e Rashford, nos acréscimos.",deportes,https://brasil.elpais.com/brasil/2019/03/06/deportes/1551889053_338653.html,"O  venceu o  por 3 a 1 nesta quarta-feira, em Paris, e conseguiu uma classificação épica para as quartas de final da . Depois de , os ingleses marcaram com  e viram Bernat empatar antes de Lukaku, novamente, e , em pênalti marcado com a ajuda do  nos acréscimos, selarem a eliminação da equipe de . Os franceses dominaram a posse de bola no jogo e poderiam ter matado o confronto já no primeiro tempo, mas tiveram erros individuais na defesa que deram chances aos ingleses. Logo no primeiro lance, Kehrer errou o recuo, Lukaku se antecipou e driblou  antes de abrir o placar. Bernat empatou em cruzamento rasteiro de  poucos minutos depois mas, aos 30, Rashford arriscou de fora da área, Buffon bateu roupa e Lukaku, no rebote, voltou a marcar.Desfalcado de nove titulares, entre eles  e , o United se recolheu na defesa durante o segundo tempo mesmo precisando de um gol para reverter a vantagem dos donos da casa. Mbappé teve mais chances de matar o confronto, mas não aproveitou. O Manchester, então, resolveu partir para cima em busca do milagre nos cinco minutos finais. Aos 45, Dalot chutou e a bola desviou no braço de Kimpembe dentro da área. Depois de consultar o VAR, o árbitro marcou o pênalti, convertido por Rashford. Thomas Tuchel ainda colocou , recuperado de lesão, no desespero, mas o 3 a 1 persistiu até o minuto final.A eliminação é inédita: nunca na história da Champions um time venceu o primeiro jogo, fora de casa, por 2 a 0 e acabou eliminado. O vexame é a terceira eliminação seguida do milionário Paris Saint-Germain na primeira fase de mata-mata do torneio europeu, somada à  e à . Neymar, que se recupera de lesão no pé direito, assistiu tudo dos camarotes do Parc des Princes.ue",Diogo Magri,Manchester United marca nos acréscimos graças a VAR e derruba o PSG nas oitavas da Champions,2019-03-06T19:41:09-03:00
"Depois de 0 a 0 na França, espanhóis decidem vaga nas quartas de final em casa",deportes,https://brasil.elpais.com/brasil/2019/03/12/deportes/1552415229_209831.html," x  se enfrentam nesta quarta-feira, às 17h (horário de Brasília), no estádio Camp Nou, pela volta das oitavas de final da . A partida será transmitida pela página do Esporte Interativo no Facebook. O EL PAÍS também fará a cobertura ao vivo do confronto.Apesar da boa partida, . Fekir, principal destaque do Lyon e ausência no jogo de ida por suspensão, volta para o confronto de volta. No Barça, a única dúvida é o atacante Dembele, que pode ser substituído por ; ,  e  estão confirmados.",El País,Onde e como assistir a Barcelona x Lyon pela Champions League,2019-03-12T15:51:33-03:00
"O treinador francês retorna ao clube empurrado pela grave crise esportiva, sem opções para conseguir um título nas três grandes competições",deportes,https://brasil.elpais.com/brasil/2019/03/11/deportes/1552313358_046329.html," está de volta ao banco do  depois de 283 dias de sua saída do clube merengue. , após dois anos e meio no cargo, nove títulos e três Champions. ""É o momento e o melhor para todos"", disse ele na época, em uma decisão que deixou ""gelados"" todos os setores da equipe madrilenha.Zidane retorna em meio a uma grave crise esportiva, desencadeada depois de a equipe perder em apenas uma semana os três títulos em disputa. O francês será o terceiro treinador nesta temporada. . O basco foi demitido da seleção nacional quando se anunciou seu acordo com o Real Madrid. O ex-treinador permaneceu no banco até 29 de outubro, depois de uma goleada no Camp Nou (5-1), resultado que o deixou sete pontos atrás do líder. Em seu lugar veio Santiago Solari, até então técnico do Castilla. O argentino durou um turno inteiro da Liga. Em seu período, a equipe endireitou o rumo após o Natal, estimulada pela .No entanto, os jogos de volta das semifinais da Copa do Rei contra o Barcelona (3 a 0),  (4 a 1) e o clássico da liga (1 a 0) desencadearam uma crise séria no Real Madrid. Quando Zidane anunciou seu adeus, ninguém no clube suspeitava que ele iria embora. Muito menos depois de vencer em Kiev a terceira Champions seguida, seu mais recente título desde que chegara ao banco do clube em janeiro de 2016. Mas Zidane tinha decidido sair. Assim comunicou a Florentino Perez, a quem agora diz sim, retornando apenas nove meses depois de partir porque era ""o melhor momento"", já que, segundo argumentou, a equipe ""tinha de continuar ganhando e para isso precisa de uma mudança”. Hoje, com o Real Madrid fora de todas as competições prematuramente, Zidane terá de explicar o que o fez mudar de ideia em relação ao final da temporada passada. ""Sou ganhador, odeio perder. Se não vejo claramente que vamos continuar ganhando e não vejo as coisas claras, como eu quero, é melhor não continuar e não fazer bobagens"", disse ele então.Após a dura eliminação na Liga dos Campeões contra o Ajax, nos bastidores do  houve seguidas reuniões em busca de um treinador para reanimar a equipe. Mourinho e Zidane eram os nomes mais citados. Nem mesmo a goleada deste domingo em Zorilla evitou a demissão de Solari, condenado depois de cair contra os holandeses.",Diego Torres,Zidane volta ao Real Madrid nove meses depois de sair,2019-03-11T15:04:58-03:00
Espanhóis vão à Itália defender a vantagem de 2 a 0 contra equipe de Cristiano Ronaldo,deportes,https://brasil.elpais.com/brasil/2019/03/11/deportes/1552325666_157890.html," x  se enfrentam nesta terça-feira, às 17h (horário de Brasília), na Itália, pela volta das oitavas de final da . A partida será transmitida pelo canal TNT (tv fechada). O EL PAÍS também fará a cobertura ao vivo do confronto.No primeiro jogo de  pela Juve contra o rival dos tempos de , o Atlético venceu na Espanha por 2 a 0, com gols marcados pelos zagueiros Giménez e Godín. Apesar da boa vantagem, os confrontos de mata-mata da semana passada servem de alerta aos espanhóis e dão esperanças aos italianos – .",El País,Onde e como assistir a Juventus x Atlético de Madrid pela Champions League,2019-03-11T16:58:50-03:00
Dirigente que marcou a história vascaína tinha 74 anos e lutava contra um tumor no cérebro,deportes,https://brasil.elpais.com/brasil/2019/03/12/deportes/1552406937_786128.html,"O ex-presidente do  e icônico cartola do futebol brasileiro, , morreu nesta terça-feira no hospital Vitória, zona oeste do Rio de Janeiro, aos 74 anos. O dirigente superou um câncer na bexiga e no pulmão nos anos anteriores, mas não resistiu a um tumor no cérebro diagnosticado em 2018. Eurico deu entrada no hospital na manhã desta terça em estado grave por conta de complicações no tratamento contra o câncer, e teve  pouco depois das 13h (horário de Brasília).Afastado da política vascaína desde o ano passado, quando , Eurico apresentou problemas na parte motora e dificuldade na fala em suas últimas aparições públicas. O ex-presidente se locomovia com cadeiras de rodas e necessitava de auxílio médico constante por conta da doença.Filho de portugueses, Eurico foi o cartola mais controverso da história do Vasco da Gama, onde participava das atividades administrativas desde 1967, quando ingressou como diretor. O cartola ocupou o cargo de presidente vascaíno de 2003 a 2008 e de 2015 até o fim de 2017. Antes de ser presidente, foi por uma década o vice de futebol do clube, participando ativamente das maiores conquistas do Vasco, como o  em 1997 e 2000 e a  de 1998. Ele também teve uma passagem como diretor de seleções da , em 1989, durante o mandato de , a pedido do . O dirigente ainda estendeu sua influência para a política nacional e foi eleito por duas vezes deputado federal pelo Rio de Janeiro, para os mandatos de 1994 a 1998 e 1998 a 2002.Conhecido pelas polêmicas, Eurico Miranda ganhou destaque na final da Copa João Havelange de 2000, quando, após briga na Justiça com a Rede Globo, estampou a logo da emissora concorrente SBT no uniforme para a partida transmitida pela Globo. O ídolo do Vasco e hoje senador pelo Rio de Janeiro, , lamentou o falecimento : ""Eurico foi um dos pouquíssimos amigos que fiz no futebol. Com certeza, sentirei a falta de fumarmos um charuto juntos"". O ex-meia , desafeto do cartola, também manifestou solidariedade à família Miranda. O clube decretou luto oficial de três dias e cancelou todas as atividades do futebol nesta terça.",Diogo Magri,"Eurico Miranda, ex-presidente do Vasco e cartola da CBF, morre no Rio de Janeiro",2019-03-12T15:07:43-03:00
Time inglês anuncia criação de um fundo milionário destinado aos 40 atletas abusados na infância por ex-treinadores de suas categorias de base,deportes,https://brasil.elpais.com/brasil/2019/03/12/deportes/1552393480_122496.html,"O  indenizará vítimas de violência sexual infantil por parte do , que foi condenado a 31 anos de prisão por 43 denúncias de abuso contra 12 jovens jogadores, entre 1979 e 1990, quando trabalhou para o City e para o Crewe Alexandra. Para o Tribunal de Liverpool, Bennell, 64, cometeu  com idades entre 8 e 15 anos.Em um , o clube informa que uma investigação independente também revelou “” por parte de outro ex-técnico da equipe, John Broome, cujas supostas vítimas também serão elegíveis para receber uma compensação financeira. Broome, que trabalhou no City entre 1964 e 1971, morreu em 2010.Detalhes do plano de indenizações não foram revelados, mas canais britânicos, incluindo a BBC, asseguram que o Manchester City vai disponibilizar milhões de libras em um fundo de reparação às vítimas. Ainda segundo a BBC,   devem receber quantias de seis dígitos por danos morais e também uma desculpa pessoal por parte de um dirigente de alto escalão dos .“O clube reitera sua sincera solidariedade a todas as vítimas pelas experiências traumáticas inimagináveis que suportaram. Todas as vítimas tinham direito a uma proteção completa contra o tipo de dano que sofreram após serem ”, lamentou o City em um comunicado. ",Agências,Manchester City indenizará jogadores que foram vítimas de abuso sexual no clube,2019-03-12T17:33:43-03:00
"Italianos haviam perdido por 2 a 0 na Espanha, mas reverteram o placar em Turim com uma atuação épica do português",deportes,https://brasil.elpais.com/brasil/2019/03/12/deportes/1552406253_842279.html,"A  amassou o  nesta terça-feira, em Turim, e se classificou para as quartas de final da , virando o confronto graças a uma partida gigante de . O maior artilheiro da história do torneio europeu marcou todos os gols do 3 a 0, que  há duas semanas. Impulsionada pela torcida, a Juve sufocou o Atleti desde o início do primeiro tempo, abusando das bolas cruzadas dentro da área espanhola. A defesa de  se portou bem até os 26 minutos, quando Bernadeschi cruzou da esquerda e Cristiano ganhou de Juanfran pelo alto e abriu o placar. Mesmo precisando de mais um gol, o 1 a 0 satisfez parcialmente os italianos, que diminuíram o ímpeto até o intervalo.No segundo tempo, porém, voltaram com tudo. Logo aos três minutos, Ronaldo voltou a ganhar da defesa pelo alto e viu Oblak voar para espalmar sua cabeçada.  que, antes do goleiro tocar na bola, ela ultrapassou por inteira a linha. O 2 a 0 levaria a partida para os pênaltis, mas os italianos queriam decidir antes. A cinco minutos do fim, Bernadeschi arrancou pela esquerda, passou por Correa e foi tocado por trás, dentro da área. Para o árbitro, pênalti. Cristiano foi para a bola, deslocou Oblak e decretou a classificação da Juventus. Mesmo podendo se classificar com um gol marcado fora de casa, o Atlético não conseguiu reagir; durante todo o jogo, os espanhóis não tiveram uma finalização certa no gol de Szczesny. O português chega à sua décima quartas de Champions seguida, .",Diogo Magri,Cristiano Ronaldo faz três no Atlético de Madrid e conduz Juventus às quartas da Champions,2019-03-12T19:22:39-03:00
"Argentino faz dois gols e dá duas assistências em goleada por 5 a 1 no Camp Nou. Coutinho, Piqué e Dembele também marcaram",deportes,https://brasil.elpais.com/brasil/2019/03/13/deportes/1552494945_157234.html,"O  não deu chances à zebra e goleou  nesta quarta-feira, no Camp Nou, por 5 a 1, no jogo de volta das oitavas de final da  e se classificou para a próxima fase.  (duas vezes), , Piqué e Dembele marcaram para os espanhóis, enquanto Tousart diminuiu para os franceses. Dominante durante todo o primeiro tempo, o Barça abriu o placar aos 17 minutos com Messi batendo de cavadinha o pênalti sofrido por . Pouco mais de dez minutos depois, Suárez fez jogada individual na área e, na cara de Lopes, rolou para Coutinho ampliar o placar, o que já deu um conforto para o time espanhol no confronto até o intervalo.Mais tranquilo no segundo tempo, o Barcelona tomou um susto quando, aos 12 minutos, Tousart aproveitou cruzamento na área para diminuir o placar. Os franceses vieram para cima contando com o empate, que os classificaria, mas deixaram espaço para o contra-ataque - e foi aí que Messi brilhou. Aos 32 minutos, puxou o contra-ataque e decidiu sozinho, driblando dois jogadores do Lyon e marcando de direita. Aos 36, arrancou outra vez e serviu , que fez o quarto. Cinco minutos depois, em lance muito parecido, o argentino chegou outra vez pelo meio e tocou para Dembele, que fechou o placar com um chute de chapa.A grande atuação do camisa 10 no 5 a 1 acontece um dia depois de , o que coroa uma semana memorável para os dois maiores artilheiros da história da Champions. Além de  e Barcelona, Tottenham, Ajax, Manchester United, Porto,  e Manchester City se classificaram para as quartas de final e conhecerão os confrontos em sorteio na próxima sexta-feira, às 8h (horário de Brasília).",Diogo Magri,"Comandado por Messi, Barcelona goleia o Lyon e se classifica na Champions",2019-03-14T10:31:43-03:00
